dataset,method,seed,task,elapsed_sec,metric_accuracy,metric_f1,metric_precision,metric_recall,metric_roc_auc,metric_mae,metric_rmse,metric_r2
Tox21_NR-AR-LBD,GIN,42,classification,15.13,0.713229859571323,0.12612612612612611,0.07052896725440806,0.5957446808510638,0.683930142387019,,,
Tox21_NR-AR-LBD,GAT,42,classification,103.29,0.7250554323725056,0.1308411214953271,0.07349081364829396,0.5957446808510638,0.704098921507934,,,
Tox21_NR-AR-LBD,SAGE,42,classification,43.14,0.8403547671840355,0.20588235294117646,0.12444444444444444,0.5957446808510638,0.7377244143234173,,,
Tox21_NR-AR-LBD,GINE,42,classification,20.75,0.5720620842572062,0.10510046367851623,0.056666666666666664,0.723404255319149,0.7471082727835522,,,
Tox21_NR-AhR,RF,42,classification,4.25,0.8596491228070176,0.14018691588785046,0.7894736842105263,0.07692307692307693,0.7771022883926109,,,
Tox21_NR-AhR,XGB,42,classification,3.78,0.8604118993135011,0.4,0.5545454545454546,0.3128205128205128,0.774074074074074,,,
Tox21_NR-AhR,GCN,42,classification,31.93,0.5362318840579711,0.37060041407867494,0.23216601815823606,0.9179487179487179,0.7848497380755445,,,
Tox21_NR-AhR,GIN,42,classification,23.64,0.6681922196796338,0.42231075697211157,0.2849462365591398,0.8153846153846154,0.8279432037496554,,,
Tox21_NR-AhR,GAT,42,classification,34.82,0.4897025171624714,0.3548698167791707,0.21852731591448932,0.9435897435897436,0.7873173421560518,,,
Tox21_NR-AhR,SAGE,42,classification,38.55,0.5827612509534706,0.3847019122609674,0.24639769452449567,0.8769230769230769,0.8031247128021323,,,
Tox21_NR-AhR,GINE,42,classification,17.2,0.5453852021357742,0.37130801687763715,0.2337317397078353,0.9025641025641026,0.7913840639647092,,,
Tox21_NR-Aromatase,RF,42,classification,3.94,0.9098712446351931,0.0,0.0,0.0,0.6123849053867904,,,
Tox21_NR-Aromatase,XGB,42,classification,3.49,0.9081545064377683,0.036036036036036036,0.2857142857142857,0.019230769230769232,0.5943866453998405,,,
Tox21_NR-Aromatase,GCN,42,classification,19.57,0.19742489270386265,0.17183348095659876,0.09463414634146342,0.9326923076923077,0.6335097513231349,,,
Tox21_NR-Aromatase,GIN,42,classification,12.41,0.15879828326180256,0.16808149405772496,0.09217877094972067,0.9519230769230769,0.6448107735808019,,,
Tox21_NR-Aromatase,GAT,42,classification,21.64,0.13047210300429185,0.1635012386457473,0.08943089430894309,0.9519230769230769,0.611986152396143,,,
Tox21_NR-Aromatase,SAGE,42,classification,29.11,0.15450643776824036,0.17157275021026072,0.09400921658986175,0.9807692307692307,0.6544261581961864,,,
Tox21_NR-Aromatase,GINE,42,classification,14.7,0.23261802575107296,0.1798165137614679,0.09939148073022312,0.9423076923076923,0.6801004132530994,,,
Tox21_NR-ER,RF,42,classification,5.41,0.8781275221953188,0.1837837837837838,0.85,0.10303030303030303,0.6114299418768693,,,
Tox21_NR-ER,XGB,42,classification,3.22,0.8547215496368039,0.23076923076923078,0.391304347826087,0.16363636363636364,0.6312933807347215,,,
Tox21_NR-ER,GCN,42,classification,28.75,0.36238902340597257,0.2518939393939394,0.14927048260381592,0.806060606060606,0.5836380565430844,,,
Tox21_NR-ER,GIN,42,classification,20.07,0.5698143664245359,0.30144167758846657,0.19230769230769232,0.696969696969697,0.6520568816658202,,,
Tox21_NR-ER,GAT,42,classification,94.97,0.47861178369652946,0.2505800464037123,0.15494978479196556,0.6545454545454545,0.5796089385474861,,,
Tox21_NR-ER,SAGE,42,classification,43.25,0.5512510088781275,0.25668449197860965,0.1646655231560892,0.5818181818181818,0.6121296766548163,,,
Tox21_NR-ER,GINE,42,classification,35.12,0.6529459241323649,0.3086816720257235,0.2100656455142232,0.5818181818181818,0.6699396196602899,,,
Tox21_NR-ER-LBD,RF,42,classification,5.43,0.9647988505747126,0.26865671641791045,0.9,0.15789473684210525,0.6968263355016755,,,
Tox21_NR-ER-LBD,XGB,42,classification,3.82,0.9597701149425287,0.28205128205128205,0.5238095238095238,0.19298245614035087,0.7359353439779222,,,
Tox21_NR-ER-LBD,GCN,42,classification,32.57,0.3642241379310345,0.08856848609680741,0.047045951859956234,0.7543859649122807,0.6409750969183257,,,
Tox21_NR-ER-LBD,GIN,42,classification,18.98,0.5833333333333334,0.11585365853658537,0.06343906510851419,0.6666666666666666,0.6813456863131612,,,
Tox21_NR-ER-LBD,GAT,42,classification,46.6,0.6896551724137931,0.12550607287449392,0.07093821510297482,0.543859649122807,0.6990209606413036,,,
Tox21_NR-ER-LBD,SAGE,42,classification,32.34,0.6443965517241379,0.12389380530973451,0.0688976377952756,0.6140350877192983,0.6703857020829227,,,
Tox21_NR-ER-LBD,GINE,42,classification,29.14,0.7169540229885057,0.12831858407079647,0.07341772151898734,0.5087719298245614,0.6748932255732966,,,
Tox21_NR-PPAR-gamma,RF,42,classification,4.26,0.9503875968992248,0.0,0.0,0.0,0.7024367862969004,,,
Tox21_NR-PPAR-gamma,XGB,42,classification,3.88,0.9511627906976744,0.11267605633802817,0.5714285714285714,0.0625,0.653637336867863,,,
Tox21_NR-PPAR-gamma,GCN,42,classification,35.28,0.48294573643410854,0.1303780964797914,0.07112375533428165,0.78125,0.6477110522022839,,,
Tox21_NR-PPAR-gamma,GIN,42,classification,19.87,0.6062015503875969,0.13898305084745763,0.0779467680608365,0.640625,0.6405485318107668,,,
Tox21_NR-PPAR-gamma,GAT,42,classification,25.54,0.18914728682170542,0.10291595197255575,0.0544464609800363,0.9375,0.663527222675367,,,
Tox21_NR-PPAR-gamma,SAGE,42,classification,15.82,0.6829457364341085,0.14613778705636743,0.08433734939759036,0.546875,0.6531275489396411,,,
Tox21_NR-PPAR-gamma,GINE,42,classification,16.96,0.35426356589147284,0.11664899257688228,0.06257110352673492,0.859375,0.6972751835236541,,,
Tox21_SR-ARE,RF,42,classification,4.85,0.7720651242502142,0.022058823529411766,0.6,0.011235955056179775,0.6460528506034124,,,
Tox21_SR-ARE,XGB,42,classification,2.97,0.7652099400171379,0.19883040935672514,0.4533333333333333,0.12734082397003746,0.6172846441947565,,,
Tox21_SR-ARE,GCN,42,classification,67.66,0.38303341902313626,0.4,0.2572347266881029,0.898876404494382,0.6537265917602996,,,
Tox21_SR-ARE,GIN,42,classification,14.23,0.4601542416452442,0.4283121597096189,0.28263473053892213,0.8838951310861424,0.686783187682064,,,
Tox21_SR-ARE,GAT,42,classification,65.71,0.4001713796058269,0.40273037542662116,0.26077348066298345,0.8838951310861424,0.6398314606741573,,,
Tox21_SR-ARE,SAGE,42,classification,54.61,0.4361610968294773,0.4050632911392405,0.266984505363528,0.8389513108614233,0.6382188930503537,,,
Tox21_SR-ARE,GINE,42,classification,19.88,0.480719794344473,0.4161849710982659,0.2801556420233463,0.8089887640449438,0.6668143986683313,,,
Tox21_SR-ATAD5,RF,42,classification,4.87,0.9540636042402827,0.0,0.0,0.0,0.6671566951566952,,,
Tox21_SR-ATAD5,XGB,42,classification,3.84,0.950530035335689,0.027777777777777776,0.14285714285714285,0.015384615384615385,0.6437378917378918,,,
Tox21_SR-ATAD5,GCN,42,classification,26.69,0.36042402826855124,0.1012909632571996,0.054140127388535034,0.7846153846153846,0.6788034188034189,,,
Tox21_SR-ATAD5,GIN,42,classification,18.07,0.4268551236749117,0.10976948408342481,0.0591016548463357,0.7692307692307693,0.6501880341880342,,,
Tox21_SR-ATAD5,GAT,42,classification,38.84,0.4416961130742049,0.11434977578475336,0.06166868198307134,0.7846153846153846,0.6942564102564103,,,
Tox21_SR-ATAD5,SAGE,42,classification,22.04,0.3236749116607774,0.09631728045325778,0.05130784708249497,0.7846153846153846,0.6654358974358974,,,
Tox21_SR-ATAD5,GINE,42,classification,19.35,0.384452296819788,0.10849539406345957,0.0581140350877193,0.8153846153846154,0.6724216524216524,,,
Tox21_SR-HSE,RF,42,classification,5.46,0.9212355212355212,0.0,0.0,0.0,0.5878983613562776,,,
Tox21_SR-HSE,XGB,42,classification,3.53,0.9204633204633205,0.08849557522123894,0.45454545454545453,0.049019607843137254,0.6203753924033989,,,
Tox21_SR-HSE,GCN,42,classification,23.15,0.5884169884169884,0.17873651771956856,0.10603290676416818,0.5686274509803921,0.6174909192511875,,,
Tox21_SR-HSE,GIN,42,classification,16.96,0.42702702702702705,0.17738359201773837,0.1,0.7843137254901961,0.6712604572424108,,,
Tox21_SR-HSE,GAT,42,classification,19.58,0.0888030888030888,0.14739884393063585,0.07956318252730109,1.0,0.605673618986572,,,
Tox21_SR-HSE,SAGE,42,classification,25.79,0.5444015444015444,0.1917808219178082,0.11146496815286625,0.6862745098039216,0.6607333629176733,,,
Tox21_SR-HSE,GINE,42,classification,24.05,0.5096525096525096,0.18693982074263765,0.10751104565537556,0.7156862745098039,0.6690005423795671,,,
Tox21_SR-MMP,RF,42,classification,4.17,0.8005159071367154,0.12121212121212122,0.6956521739130435,0.06639004149377593,0.7481818345469438,,,
Tox21_SR-MMP,XGB,42,classification,3.29,0.8048151332760103,0.31419939577039274,0.5777777777777777,0.2157676348547718,0.7372728418286064,,,
Tox21_SR-MMP,GCN,42,classification,49.36,0.5030094582975064,0.40899795501022496,0.27137042062415195,0.8298755186721992,0.7001512137604522,,,
Tox21_SR-MMP,GIN,42,classification,15.48,0.6027515047291487,0.4689655172413793,0.32432432432432434,0.8464730290456431,0.7524864762693404,,,
Tox21_SR-MMP,GAT,42,classification,34.43,0.5692175408426483,0.42479908151549944,0.29365079365079366,0.7676348547717843,0.716595710209629,,,
Tox21_SR-MMP,SAGE,42,classification,39.66,0.6087704213241617,0.4444444444444444,0.314878892733564,0.7551867219917012,0.73868372021854,,,
Tox21_SR-MMP,GINE,42,classification,18.86,0.6070507308684436,0.4692218350754936,0.3258064516129032,0.8381742738589212,0.7941107640795313,,,
Tox21_SR-p53,RF,42,classification,4.95,0.8923303834808259,0.039473684210526314,1.0,0.020134228187919462,0.7164026400805147,,,
Tox21_SR-p53,XGB,42,classification,3.79,0.8923303834808259,0.1511627906976744,0.5652173913043478,0.087248322147651,0.701678686409813,,,
Tox21_SR-p53,GCN,42,classification,50.64,0.35176991150442477,0.24158757549611734,0.13861386138613863,0.9395973154362416,0.7134333835623294,,,
Tox21_SR-p53,GIN,42,classification,22.12,0.5309734513274337,0.273972602739726,0.16506189821182943,0.8053691275167785,0.708606951618912,,,
Tox21_SR-p53,GAT,42,classification,49.83,0.20870206489675516,0.21044885945548197,0.11818181818181818,0.959731543624161,0.6526525914269667,,,
Tox21_SR-p53,SAGE,42,classification,30.35,0.27064896755162243,0.2218725413060582,0.12566844919786097,0.9463087248322147,0.6827288245858889,,,
Tox21_SR-p53,GINE,42,classification,19.17,0.3938053097345133,0.25272727272727274,0.14616193480546794,0.9328859060402684,0.7243762615169899,,,
